acm_certificate_test	aws_acm_certificate.private_cert
acmpca_certificate_authority_test	aws_acmpca_certificate_authority.private_ca
acmpca_certificate_authority_test	aws_acmpca_certificate_authority.private_ca_more_tiered
acmpca_certificate_authority_test	aws_acmpca_certificate_authority.private_ca_noUsage
acmpca_certificate_authority_test	aws_acmpca_certificate_authority.private_ca_tiered
acmpca_certificate_authority_test	aws_acmpca_certificate_authority.short_lived_ca
acmpca_certificate_authority_test	aws_acmpca_certificate_authority.short_lived_ca_noUsage
api_gateway_rest_api_test	aws_api_gateway_rest_api.api
api_gateway_rest_api_test	aws_api_gateway_rest_api.my_rest_api
api_gateway_stage_test	aws_api_gateway_stage.cache_1
api_gateway_stage_test	aws_api_gateway_stage.cache_2
api_gateway_stage_test	aws_api_gateway_stage.default_cache
api_gateway_stage_test	aws_api_gateway_stage.disabled_cache
apigatewayv2_api_test	aws_apigatewayv2_api.http
apigatewayv2_api_test	aws_apigatewayv2_api.http_usage
apigatewayv2_api_test	aws_apigatewayv2_api.websocket
apigatewayv2_api_test	aws_apigatewayv2_api.websocket_usage
autoscaling_group_test	aws_autoscaling_group.asg_lc_basic
autoscaling_group_test	aws_autoscaling_group.asg_lc_cpu_credits
autoscaling_group_test	aws_autoscaling_group.asg_lc_cpu_credits_noUsage
autoscaling_group_test	aws_autoscaling_group.asg_lc_desired_capacity_zero
autoscaling_group_test	aws_autoscaling_group.asg_lc_ebs_optimized
autoscaling_group_test	aws_autoscaling_group.asg_lc_min_size
autoscaling_group_test	aws_autoscaling_group.asg_lc_min_size_name_ref
autoscaling_group_test	aws_autoscaling_group.asg_lc_min_size_zero
autoscaling_group_test	aws_autoscaling_group.asg_lc_reserved
autoscaling_group_test	aws_autoscaling_group.asg_lc_tenancy_dedicated
autoscaling_group_test	aws_autoscaling_group.asg_lc_tenancy_host
autoscaling_group_test	aws_autoscaling_group.asg_lc_usage
autoscaling_group_test	aws_autoscaling_group.asg_lc_windows
autoscaling_group_test	aws_autoscaling_group.asg_lt_basic
autoscaling_group_test	aws_autoscaling_group.asg_lt_cpu_credits
autoscaling_group_test	aws_autoscaling_group.asg_lt_cpu_credits_noUsage
autoscaling_group_test	aws_autoscaling_group.asg_lt_desired_capacity_zero
autoscaling_group_test	aws_autoscaling_group.asg_lt_ebs_optimized
autoscaling_group_test	aws_autoscaling_group.asg_lt_min_size
autoscaling_group_test	aws_autoscaling_group.asg_lt_min_size_zero
autoscaling_group_test	aws_autoscaling_group.asg_lt_monitoring
autoscaling_group_test	aws_autoscaling_group.asg_lt_tenancy_dedicated
autoscaling_group_test	aws_autoscaling_group.asg_lt_tenancy_host
autoscaling_group_test	aws_autoscaling_group.asg_lt_usage
autoscaling_group_test	aws_autoscaling_group.asg_mixed_instance_basic
autoscaling_group_test	aws_autoscaling_group.asg_mixed_instance_dynamic
autoscaling_group_test	aws_autoscaling_group.test_count
autoscaling_group_test	aws_launch_configuration.lc_basic
autoscaling_group_test	aws_launch_configuration.lc_cpu_credits
autoscaling_group_test	aws_launch_configuration.lc_cpu_credits_noUsage
autoscaling_group_test	aws_launch_configuration.lc_ebs_optimized
autoscaling_group_test	aws_launch_configuration.lc_reserved
autoscaling_group_test	aws_launch_configuration.lc_tenancy_dedicated
autoscaling_group_test	aws_launch_configuration.lc_tenancy_host
autoscaling_group_test	aws_launch_configuration.lc_usage
autoscaling_group_test	aws_launch_configuration.lc_windows
autoscaling_group_test	aws_launch_configuration.test_count
autoscaling_group_test	aws_launch_template.lt_basic
autoscaling_group_test	aws_launch_template.lt_cpu_credits
autoscaling_group_test	aws_launch_template.lt_cpu_credits_noUsage
autoscaling_group_test	aws_launch_template.lt_ebs_optimized
autoscaling_group_test	aws_launch_template.lt_mixed_instance_basic
autoscaling_group_test	aws_launch_template.lt_mixed_instance_dynamic
autoscaling_group_test	aws_launch_template.lt_monitoring
autoscaling_group_test	aws_launch_template.lt_tenancy_dedicated
autoscaling_group_test	aws_launch_template.lt_tenancy_host
autoscaling_group_test	aws_launch_template.lt_usage
autoscaling_group_test	module.asg-lt.aws_autoscaling_group.idc
autoscaling_group_test	module.asg-lt.aws_autoscaling_group.this
autoscaling_group_test	module.asg-lt.aws_autoscaling_policy.this
autoscaling_group_test	module.asg-lt.aws_autoscaling_schedule.this
autoscaling_group_test	module.asg-lt.aws_launch_template.this
backup_vault_test	aws_backup_vault.non_usage
backup_vault_test	aws_backup_vault.usage
cloudformation_stack_set_test	aws_cloudformation_stack_set.withTemplBodyAWS
cloudformation_stack_set_test	aws_cloudformation_stack_set.withoutTemplBody
cloudformation_stack_set_test	aws_cloudformation_stack_set.withoutUsage
cloudformation_stack_test	aws_cloudformation_stack.withTemplBodyAWS
cloudformation_stack_test	aws_cloudformation_stack.withoutTemplBody
cloudformation_stack_test	aws_cloudformation_stack.withoutUsage
cloudfront_distribution_test	aws_cloudfront_distribution.s3_distribution
cloudfront_distribution_test	aws_cloudfront_distribution.s3_distribution_0_with_shield
